,Month,tmax,tmin,prec
0,Jan,15.25377747252751,3.931249999999996,38.176
1,Feb,15.592168674698831,4.1644578313253096,31.92800000000001
2,Mar,17.510638297872344,5.353603294440637,27.476
3,Apr,19.886619217081858,7.580014224751065,34.012
4,May,23.665315934065916,11.234501718213052,29.091999999999985
5,Jun,28.12227758007117,15.424839857651246,13.511999999999999
6,Jul,31.18821917808218,18.209863013698595,5.618000000000002
7,Aug,31.262029569892487,18.834879032258034,17.730612244897955
8,Sep,27.89305555555556,16.37395833333334,54.018367346938795
9,Oct,23.77729110512129,12.852291105121285,65.36326530612243
10,Nov,18.995407098121092,8.219415448851768,56.10000000000001
11,Dec,16.279704301075263,5.474260752688173,47.46122448979592
