,Month,tmax,tmin,prec
0,Jan,13.20430107526885,7.794175627240148,123.80277777777782
1,Feb,13.609488692232087,7.742084562438564,99.79722222222222
2,Mar,15.060304659498188,8.69677419354839,88.65833333333332
3,Apr,15.838212135247822,9.574478925428469,82.37083333333334
4,May,17.88149641577062,11.584632616487475,69.96249999999998
5,Jun,20.13587962962957,13.829286376274327,49.331944444444446
6,Jul,21.977404718693208,15.553811252268641,27.887500000000003
7,Aug,22.600954111767354,15.917537482962333,38.08591549295775
8,Sep,21.7358215962441,14.880704225352119,60.97605633802817
9,Oct,19.185461154020842,12.758382553384816,108.80704225352109
10,Nov,15.709061032863847,10.071267605633775,134.9478873239437
11,Dec,13.83688040018189,8.595634379263316,130.1281690140845
