,Month,tmax,tmin,prec
0,Jan,14.951680911680924,3.901029159519718,64.8758064516129
1,Feb,17.103358208955274,4.975031210986265,62.02419354838709
2,Mar,20.47575757575759,6.883370786516845,56.70483870967743
3,Apr,22.800351699882807,9.176377491207507,54.40322580645163
4,May,27.663260748185344,12.251256281407025,33.77096774193547
5,Jun,32.570963995354255,15.975900116144006,14.627419354838713
6,Jul,36.73312499999996,18.412272727272708,2.3838709677419354
7,Aug,36.4333333333333,18.701990898748573,4.721311475409836
8,Sep,31.756731334509062,16.37783656672545,29.21475409836066
9,Oct,25.428357348703216,12.429971181556176,72.91475409836065
10,Nov,18.96541218637993,7.4810035842293985,77.91311475409837
11,Dec,15.34366117111997,4.748152359295054,82.69180327868852
